age,speed
5,0.8319366987179487
6,0.9118152820512819
7,0.9888499166666667
8,1.0627515897435897
9,1.1332312884615383
10,1.2
11,1.2627687115384614
12,1.3212484102564104
13,1.3751500833333332
14,1.4241847179487177
15,1.4680633012820512
16,1.5064968205128206
17,1.5391962628205127
18,1.5658726153846156
19,1.5862368653846155
20,1.6
21,1.6070820192307693
22,1.6082389743589744
23,1.6044359294871795
24,1.5966379487179487
25,1.5858100961538464
26,1.572917435897436
27,1.5589250320512822
28,1.5447979487179486
29,1.53150125
30,1.52
31,1.5110432115384616
32,1.5045156923076923
33,1.500086198717949
34,1.4974234871794871
35,1.4961963141025643
36,1.4960734358974357
37,1.496723608974359
38,1.4978155897435896
39,1.4990181346153846
40,1.5
41,1.5004551346153847
42,1.5001782564102564
43,1.4989892756410257
44,1.4967081025641025
45,1.4931546474358977
46,1.4881488205128204
47,1.481510532051282
48,1.4730596923076924
49,1.4626162115384616
50,1.45
51,1.4351162499999999
52,1.418211282051282
53,1.3996166987179486
54,1.3796641025641025
55,1.3586850961538461
56,1.337011282051282
57,1.3149742628205128
58,1.292905641025641
59,1.2711370192307692
60,1.25
61,1.2297298653846154
62,1.2101766153846154
63,1.1910939294871794
64,1.1722354871794873
65,1.153354967948718
66,1.1342060512820513
67,1.1145424166666666
68,1.0941177435897438
69,1.0726857115384616
70,1.05
71,1.0258142884615387
72,0.9998822564102565
73,0.9719575833333333
74,0.9417939487179487
75,0.909145032051282
76,0.8737645128205127
77,0.8354060705128206
78,0.7938233846153847
79,0.7487701346153846
80,0.7
